,person 1,person 2,team,# connections
873,#14 Paul Rickerts,#8 Linus Luksch,GER Open,1
871,#14 Paul Rickerts,#98 Lucas Dippel,GER Open,1
868,#22 Yannik Rincker,#25 Benjamin Schlechter,GER Open,1
865,#28 Vincent Wagner,#77 Paul Herkens,GER Open,1
864,#15 Fritz Holzner,#64 Jan Uschnig,AUT Open,1
863,#21 Henri Bernecker,#77 Paul Herkens,GER Open,1
861,#14 Paul Rickerts,#21 Henri Bernecker,GER Open,1
858,#29 Nis-Julius Sontag,#31 Mirco Peperhove,GER Open,1
857,#14 Paul Rickerts,#31 Mirco Peperhove,GER Open,1
856,#25 Benjamin Schlechter,#47 Felix von Falkenhausen,GER Open,1
855,#20 Emil Deiß,#8 Linus Luksch,GER Open,1
854,#21 Henri Bernecker,#69 Wieland Freimark,GER Open,1
853,#50 Simon Scheer,#98 Lucas Dippel,GER Open,1
852,#10 Roy Kang,#24 Ethan Kok Kuan Mun,SGP Open,1
851,#31 Mirco Peperhove,#50 Simon Scheer,GER Open,1
850,#31 Mirco Peperhove,#8 Linus Luksch,GER Open,1
849,#29 Nis-Julius Sontag,#98 Lucas Dippel,GER Open,1
807,#43 Tomás Jaramillo,#5 Alejandro Marin,COL Open,1
806,#48 Federico Duque,#6 Jacobo García,COL Open,1
800,#17 Myles Vinh Farr,#49 Andrzej Zaród,GBR Open,1
797,#10 Rhodri Williams,#26 Andrew Sweetnam,GBR Open,1
729,#26 Andrew Sweetnam,#27 Nicholas Houghton,GBR Open,1
728,#13 Kei Watanabe,#27 Nicholas Houghton,GBR Open,1
727,#15 Matteo Paradisi,#21 Roberto Palmeri,ITA Open,1
726,#13 Roberto Maria Manzalini,#9 Nicolò Bellofiore,ITA Open,1
52,#21 Theresa Yu,#72 Ezra Weybright,USA Women's,1
719,#49 Andrzej Zaród,#7 Thomas Oliver,GBR Open,1
718,#16 Ethan Morrell,#33 Henry Brooking,GBR Open,1
717,#29 Nis-Julius Sontag,#85 Gideon Schenk,GER Open,1
716,#11 Andrea Fantini,#38 Alberto Cassanelli,ITA Open,1
715,#19 Tobias Maierhofer,#23 Julian Balzer,GER Open,1
714,#22 Lorenzo Turci,#55 Leonardo Andrea Maffioli,ITA Open,1
713,#0 Zeno Alberto Comirato,#1 Andrea Bulgarelli,ITA Open,1
712,#15 Matteo Paradisi,#80 Simone Bortolai,ITA Open,1
711,#21 Roberto Palmeri,#9 Nicolò Bellofiore,ITA Open,1
708,#16 Jasper Linde,#69 Wieland Freimark,GER Open,1
707,#9 Nicolò Bellofiore,#95 Andrea Montanari,ITA Open,1
706,#0 Zeno Alberto Comirato,#19 Fernando Vozzi,ITA Open,1
705, ,#17 Lorenzo Simonazzi,ITA Open,1
704,#15 Matteo Paradisi,#22 Lorenzo Turci,ITA Open,1
702,#20 Pietro Zocca,#64 Michele Grazzini,ITA Open,1
701,#11 Andrea Fantini,#96 Liam Crisafulli,ITA Open,1
698,#29 Carlo Mazzo,#38 Alberto Cassanelli,ITA Open,1
696,#28 Jacopo Palombarini,#7 Martin Giuliani,ITA Open,1
695,#0 Zeno Alberto Comirato,#55 Leonardo Andrea Maffioli,ITA Open,1
693,#23 Edoardo Fabbri,#29 Carlo Mazzo,ITA Open,1
730,#13 Kei Watanabe,#33 Henry Brooking,GBR Open,1
731,#15 Matteo Paradisi,#28 Jacopo Palombarini,ITA Open,1
733,#17 Lorenzo Simonazzi,#26 David Barzasi,ITA Open,1
777,#19 Guillermo Luna,#8 Gustavo Mendez,COL Open,1
796,#17 Myles Vinh Farr,#27 Nicholas Houghton,GBR Open,1
792,#77 Paul Herkens,#8 Linus Luksch,GER Open,1
790,#18 Thorben Haag,#85 Gideon Schenk,GER Open,1
789,#50 Simon Scheer,#77 Paul Herkens,GER Open,1
788,#19 Tobias Maierhofer,#22 Yannik Rincker,GER Open,1
787,#19 Tobias Maierhofer,#85 Gideon Schenk,GER Open,1
786,#10 Alejandro Ramirez,#5 Alejandro Marin,COL Open,1
784,#77 Brayan Ramos,#8 Gustavo Mendez,COL Open,1
782,#19 Guillermo Luna,#6 Jacobo García,COL Open,1
780,#14 Paul Rickerts,#77 Paul Herkens,GER Open,1
779,#43 Tomás Jaramillo,#69 Job Buitrago,COL Open,1
772,#14 Juan David Guzmán Quintero,#86 David Ceballos,COL Open,1
738,#17 Lorenzo Simonazzi,#28 Jacopo Palombarini,ITA Open,1
770,#5 Alejandro Marin,#69 Job Buitrago,COL Open,1
763,#55 Benjamin Gaudernak,#77 Sebastian Höfinger,AUT Open,1
761,#11 Samuel García,#8 Gustavo Mendez,COL Open,1
759,#27 Jonatan Acevedo,#7 Andrés Felipe Ricaurte Ortiz,COL Open,1
756,#13 Matthew Goh Sze Han,#16 Justin Low Yue Jun,SGP Open,1
752,#16 Justin Low Yue Jun,#25 Mohamed Haziq Bin Mohamed Saleem,SGP Open,1
749,#16 Justin Low Yue Jun,#24 Ethan Kok Kuan Mun,SGP Open,1
746,#11 Samuel García,#6 Jacobo García,COL Open,1
745,#0 Rivaldo Briceño,#14 Juan David Guzmán Quintero,COL Open,1
744,#20 Pietro Zocca,#26 David Barzasi,ITA Open,1
739,#11 Andrea Fantini,#64 Michele Grazzini,ITA Open,1
483,#9 Francesca Chiodini,#97 Maria Ferrero,ITA Women's,1
